date,apple_driving,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google_transit,google,telco,applegoogle,region
2021-02-11,0.7603316052812885,0.8284892560308128,0.7924546328530395,0.6626323751891073,0.8812849162011173,0.9453125,1.0483870967741935,0.68796992481203,0.7926476662536144,0.8789903668636728,0.792551149553327,denmark
2021-02-12,0.7693445826133117,0.8415644638151225,0.8033821588730913,0.6686838124054463,0.8868715083798882,0.9355468750000001,1.0483870967741935,0.6898496240601504,0.7942998760842628,0.8796230754180273,0.7988410174786771,denmark
2021-02-13,0.7783575599453348,0.8550324346239611,0.8144947959896576,0.670196671709531,0.888268156424581,0.9218750000000001,1.0483870967741935,0.693609022556391,0.7930607187112764,0.8777328012002693,0.803777757350467,denmark
2021-02-14,0.79161725341375,0.8679175957834987,0.8275779705852496,0.670196671709531,0.8910614525139664,0.9082031250000001,1.0483870967741935,0.693609022556391,0.7909954564229658,0.8740596345572661,0.8092867135041077,denmark
2021-02-15,0.8038604456793051,0.8812968781674436,0.8403566075704466,0.6717095310136157,0.8924581005586593,0.8925781250000001,1.0483870967741935,0.6917293233082706,0.7881040892193308,0.8695310836991386,0.8142303483948887,denmark
2021-02-16,0.8105128813291319,0.8921422055544292,0.8489851731983016,0.670196671709531,0.8924581005586593,0.876953125,1.0497311827956988,0.6898496240601504,0.7839735646427097,0.8636823816650234,0.8164793689205057,denmark
2021-02-17,0.8094624967528434,0.8954870261504154,0.8500062698919786,0.6656580937972768,0.888268156424581,0.8808593750000001,1.0497311827956988,0.6860902255639099,0.7814952498967369,0.8594877916875627,0.8157507598943577,denmark
2021-02-18,0.8085928235015079,0.8992626190958847,0.8513259328703565,0.659606656580938,0.8854748603351955,0.8828125,1.0483870967741935,0.6898496240601504,0.7802560925237505,0.8580489117182484,0.8157910126970536,denmark
2021-02-19,0.810174047594845,0.9147450841273058,0.8594588784656083,0.6626323751891073,0.8896648044692737,0.8984375,1.0456989247311828,0.6973684210526315,0.7872779843040066,0.8635580569674246,0.8233684313848075,denmark
2021-02-20,0.8108178316899897,0.9245768295155077,0.8644329927687244,0.6656580937972768,0.8924581005586593,0.916015625,1.043010752688172,0.6992481203007519,0.7930607187112764,0.8660412117389206,0.8287468557400004,denmark
2021-02-21,0.8078248003704581,0.9318872896817351,0.8662960463852578,0.6671709531013615,0.8924581005586593,0.9335937500000001,1.0416666666666665,0.7030075187969925,0.7980173482032219,0.8742434303853673,0.8321566972942398,denmark
2021-02-22,0.805532025435119,0.9389570241232513,0.8684158670066341,0.670196671709531,0.8952513966480447,0.953125,1.0389784946236558,0.7105263157894737,0.80545229244114,0.884111710919564,0.8369340797238871,denmark
2021-02-23,0.8107387704853228,0.9471797080883843,0.8750440385269933,0.6792738275340393,0.9050279329608938,0.97265625,1.036290322580645,0.7180451127819548,0.8166047087980175,0.8938812287046026,0.8458243736625054,denmark
2021-02-24,0.8169846056540055,0.9640178390431784,0.8862820734831339,0.6883509833585476,0.9175977653631284,0.986328125,1.0349462365591398,0.7293233082706767,0.8281701776125568,0.901236722735267,0.8572261255478454,denmark
