"Region";"Dato";"Indlæggelser"
Hovedstaden;2020-04-19;20
Midtjylland;2020-04-19;4
Sjælland;2020-04-19;9
Hovedstaden;2020-04-20;16
Midtjylland;2020-04-20;4
Sjælland;2020-04-20;11
Syddanmark;2020-04-20;2
Hovedstaden;2020-04-21;18
Midtjylland;2020-04-21;5
Sjælland;2020-04-21;13
Syddanmark;2020-04-21;2
Hovedstaden;2020-04-22;15
Midtjylland;2020-04-22;2
Sjælland;2020-04-22;9
Syddanmark;2020-04-22;3
Hovedstaden;2020-04-23;16
Midtjylland;2020-04-23;4
Sjælland;2020-04-23;11
Syddanmark;2020-04-23;1
Hovedstaden;2020-04-24;9
Midtjylland;2020-04-24;2
Nordjylland;2020-04-24;1
Sjælland;2020-04-24;9
Syddanmark;2020-04-24;1
Hovedstaden;2020-04-25;18
Midtjylland;2020-04-25;1
Nordjylland;2020-04-25;1
Sjælland;2020-04-25;7
Hovedstaden;2020-04-26;20
Midtjylland;2020-04-26;3
Sjælland;2020-04-26;2
Syddanmark;2020-04-26;1
Hovedstaden;2020-04-27;8
Midtjylland;2020-04-27;2
Sjælland;2020-04-27;11
Hovedstaden;2020-04-28;12
Sjælland;2020-04-28;2
Syddanmark;2020-04-28;1
Hovedstaden;2020-04-29;9
Midtjylland;2020-04-29;1
Nordjylland;2020-04-29;1
Sjælland;2020-04-29;4
Hovedstaden;2020-04-30;10
Midtjylland;2020-04-30;1
Sjælland;2020-04-30;5
Hovedstaden;2020-05-01;9
Midtjylland;2020-05-01;1
Sjælland;2020-05-01;5
Syddanmark;2020-05-01;1
Hovedstaden;2020-05-02;14
Midtjylland;2020-05-02;5
Sjælland;2020-05-02;5
Hovedstaden;2020-05-03;13
Sjælland;2020-05-03;3
Hovedstaden;2020-05-04;8
Midtjylland;2020-05-04;3
Sjælland;2020-05-04;3
Hovedstaden;2020-05-05;8
Sjælland;2020-05-05;8
Hovedstaden;2020-05-06;4
Sjælland;2020-05-06;2
Hovedstaden;2020-05-07;11
Sjælland;2020-05-07;4
Hovedstaden;2020-05-08;6
Sjælland;2020-05-08;2
Syddanmark;2020-05-08;1
