date,region,cases,hospit,deaths,population,cases_smoothed,hospit_smoothed,deaths_smoothed,cases_per_100000,hospit_per_100000,deaths_per_100000,cases_incidence,hospit_incidence,deaths_incidence,cumulative_cases,cumulative_hospit,cumulative_deaths
2020-11-28,central,212,8,2,1332048,246.42857142857142,8.0,2.5714285714285716,15.915342390064021,0.6005789581156235,0.15014473952890586,115.76159417678643,3.903763227751553,1.1260855464667938,15163,789,106
2020-11-29,central,185,7,5,1332048,259.7142857142857,8.428571428571429,2.2857142857142856,13.888388406423793,0.5255065883511705,0.37536184882226464,115.23608758843525,4.128980337044911,1.3513026557601528,15348,796,111
2020-11-30,central,326,4,2,1332048,272.0,9.0,2.7142857142857144,24.473592543211655,0.3002894790578117,0.15014473952890586,125.3708575066364,3.7536184882226467,1.4263750255246057,15674,800,113
2020-12-01,central,292,17,2,1332048,296.42857142857144,10.0,2.5714285714285716,21.921131971220255,1.2762302859956998,0.15014473952890586,129.4998378436813,4.204052706809364,1.3513026557601528,15966,817,115
2020-12-02,central,326,12,2,1332048,304.14285714285717,10.428571428571429,2.4285714285714284,24.473592543211655,0.9008684371734351,0.15014473952890586,136.48156823177544,4.429269816102723,1.201157916231247,16292,829,117
2020-12-03,central,332,8,3,1332048,321.2857142857143,10.857142857142858,1.7142857142857142,24.924026761798373,0.6005789581156235,0.22521710929335878,142.93779203151837,4.729559295160534,1.4263750255246057,16624,837,120
2020-12-04,central,402,14,2,1332048,337.7142857142857,12.285714285714286,1.5714285714285714,30.179092645310078,1.051013176702341,0.15014473952890586,155.77516726123983,5.255065883511706,1.3513026557601528,17026,851,122
2020-12-05,central,266,11,1,1332048,370.14285714285717,11.0,1.8571428571428572,19.96925035734448,0.8257960674089823,0.07507236976445293,159.82907522852028,5.480282992805064,1.2762302859956998,17292,862,123
2020-12-06,central,305,10,0,1332048,406.14285714285717,11.142857142857142,2.0,22.897072778158144,0.7507236976445293,0.0,168.83775960025463,5.705500102098423,0.9008684371734351,17597,872,123
2020-12-07,central,441,14,1,1332048,444.42857142857144,12.0,1.8571428571428572,33.10691506612374,1.051013176702341,0.07507236976445293,177.47108212316675,6.456223799742952,0.8257960674089823,18038,886,124
2020-12-08,central,519,8,4,1332048,470.2857142857143,13.428571428571429,1.7142857142857142,38.96255990775107,0.6005789581156235,0.3002894790578117,194.51251005969755,5.780572471862875,0.9759408069378882,18557,894,128
2020-12-09,central,578,13,3,1332048,510.0,13.285714285714286,1.7142857142857142,43.391829723853796,0.9759408069378882,0.22521710929335878,213.4307472403397,5.8556448416273295,1.051013176702341,19135,907,131
2020-12-10,central,600,14,2,1332048,534.4285714285714,13.428571428571429,2.0,45.04342185867176,1.051013176702341,0.15014473952890586,233.55014233721306,6.306079060214046,0.9759408069378882,19735,921,133
2020-12-11,central,583,24,1,1332048,580.7142857142857,13.857142857142858,2.142857142857143,43.767191572676055,1.8017368743468702,0.07507236976445293,247.13824126457905,7.056802757858575,0.9008684371734351,20318,945,134
2020-12-12,central,544,10,1,1332048,621.4285714285714,15.571428571428571,1.7142857142857142,40.83936915186239,0.7507236976445293,0.07507236976445293,268.00836005909696,6.981730388094123,0.9008684371734351,20862,955,135
2020-12-13,central,476,11,2,1332048,645.5714285714286,15.428571428571429,1.7142857142857142,35.73444800787959,0.8257960674089823,0.15014473952890586,280.84573528881845,7.056802757858575,1.051013176702341,21338,966,137
2020-12-14,central,765,17,2,1332048,646.7142857142857,16.571428571428573,1.8571428571428572,57.430362869806494,1.2762302859956998,0.15014473952890586,305.16918309250116,7.282019867151935,1.1260855464667938,22103,983,139
2020-12-15,central,804,20,1,1332048,641.7142857142857,15.571428571428571,1.7142857142857142,60.358185290620156,1.5014473952890586,0.07507236976445293,326.5648084753703,8.18288830432537,0.9008684371734351,22907,1003,140
2020-12-16,central,747,12,3,1332048,637.4285714285714,17.0,2.2857142857142856,56.079060214046336,0.9008684371734351,0.22521710929335878,339.2520389655628,8.107815934560916,0.9008684371734351,23654,1015,143
2020-12-17,central,608,22,3,1332048,625.1428571428571,18.142857142857142,2.2857142857142856,45.64400081678738,1.6515921348179645,0.22521710929335878,339.8526179236784,8.708394892676543,0.9759408069378882,24262,1037,146
2020-12-18,central,548,17,0,1332048,589.1428571428571,18.714285714285715,2.4285714285714284,41.1396586309202,1.2762302859956998,0.0,337.2250849819226,8.18288830432537,0.9008684371734351,24810,1054,146
2020-12-19,central,514,20,5,1332048,541.4285714285714,18.571428571428573,2.4285714285714284,38.587198058928806,1.5014473952890586,0.37536184882226464,334.97291388898896,8.933612001969898,1.201157916231247,25324,1074,151
2020-12-20,central,390,19,2,1332048,508.2857142857143,20.571428571428573,2.142857142857143,29.278224208136646,1.4263750255246057,0.15014473952890586,328.516690089246,9.534190960085523,1.201157916231247,25714,1093,153
2020-12-21,central,513,21,3,1332048,456.57142857142856,20.428571428571427,1.8571428571428572,38.51212568916435,1.5765197650535114,0.22521710929335878,309.59845290860386,9.834480439143334,1.2762302859956998,26227,1114,156
2020-12-22,central,470,19,1,1332048,408.85714285714283,21.571428571428573,2.5714285714285716,35.28401378929288,1.4263750255246057,0.07507236976445293,284.52428140727665,9.759408069378882,1.2762302859956998,26697,1133,157
2020-12-23,central,515,26,1,1332048,401.14285714285717,21.714285714285715,2.2857142857142856,38.662270428693255,1.9518816138757764,0.07507236976445293,267.10749162192354,10.810421246081223,1.1260855464667938,27212,1159,158
2020-12-24,central,246,21,1,1332048,404.85714285714283,21.428571428571427,2.7142857142857144,18.467802962055423,1.5765197650535114,0.07507236976445293,239.93129376719156,10.735348876316769,0.9759408069378882,27458,1180,159
2020-12-25,central,214,25,5,1332048,412.7142857142857,24.285714285714285,3.142857142857143,16.065487129592928,1.8768092441113233,0.37536184882226464,214.8571222658643,11.335927834432393,1.3513026557601528,27672,1205,164
2020-12-26,central,460,21,3,1332048,419.85714285714283,25.714285714285715,3.5714285714285716,34.533290091648354,1.5765197650535114,0.22521710929335878,210.8032142985838,11.411000204196846,1.201157916231247,28132,1226,167
